Series Code,Country Code,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013
SP.POP.TOTL,MNG,2496248,2526502,2559496,2595068,2632834,2672223,2712738,2754209,2796484,2839073
SP.POP.TOTL,MNE,614670,615820,616854,617800,618649,619408,620078,620644,621081,621383
SP.POP.TOTL,MAR,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143,33008150
SP.POP.TOTL,MOZ,20438827,21010376,21587317,22171404,22762525,23361025,23967265,24581367,25203395,25833752
SP.POP.TOTL,MMR,49875169,50181020,50500070,50828959,51174018,51540490,51931231,52350763,52797319,53259018
SP.POP.TOTL,NAM,2003320,2027026,2052931,2080700,2110791,2143498,2178967,2217618,2259393,2303315
SP.POP.TOTL,NPL,24921910,25292058,25634043,25950022,26249412,26544943,26846016,27156367,27474377,27797457
SP.POP.TOTL,NLD,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804224
SP.POP.TOTL,NCL,230068,234393,238459,242400,243985,245580,250000,254000,258000,262000
SP.POP.TOTL,NZL,4087500,4133900,4184600,4228300,4268900,4315800,4367800,4405200,4433000,4470800
SP.POP.TOTL,NIC,5386299,5455219,5524927,5595533,5667983,5743329,5822209,5905146,5991733,6080478
SP.POP.TOTL,NER,12708897,13183798,13679705,14197289,14737895,15302948,15893746,16511462,17157042,17831270
SP.POP.TOTL,NGA,135999250,139585891,143314909,147187353,151208080,155381020,159707780,164192925,168833776,173615345
SP.POP.TOTL,MNP,66143,64372,62235,59792,57345,55278,53860,53230,53305,53855
SP.POP.TOTL,NOR,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5084190
SP.POP.TOTL,OMN,2464001,2522325,2554905,2569739,2593523,2663224,2802768,3024774,3314001,3632444
SP.POP.TOTL,PAK,155151394,157971415,160905794,163928329,167008083,170093999,173149306,176166353,179160111,182142594
SP.POP.TOTL,PLW,19805,19907,20012,20118,20228,20344,20470,20606,20754,20918
SP.POP.TOTL,PAN,3303335,3365929,3428509,3491034,3553480,3615846,3678128,3740282,3802281,3864170
SP.POP.TOTL,PNG,5948461,6095959,6245797,6397623,6550877,6704829,6858945,7012977,7167010,7321262
SP.POP.TOTL,PRY,5793330,5904170,6014781,6125285,6236005,6347383,6459721,6573097,6687361,6802295
SP.POP.TOTL,PER,27403845,27723281,28030688,28328410,28625628,28934303,29262830,29614887,29987800,30375603
SP.POP.TOTL,PHL,84231329,85821214,87366573,88875548,90371287,91886400,93444322,95053437,96706764,98393574
SP.POP.TOTL,POL,38182222,38165445,38141267,38120560,38125759,38151603,38183683,38534157,38535873,38530725
SP.POP.TOTL,PRT,10483861,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10459806
SP.POP.TOTL,PRI,3826878,3821362,3805214,3782995,3760866,3740410,3721208,3686580,3651545,3615086
SP.POP.TOTL,QAT,720383,821159,967602,1152459,1359114,1564082,1749713,1910902,2050514,2168673
SP.POP.TOTL,ROU,21451748,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20076727,19963581
SP.POP.TOTL,RUS,143821212,143113885,142487260,142114903,141956409,141909244,142385523,142956460,143178000,143499861
SP.POP.TOTL,RWA,9254379,9429457,9660946,9928143,10222961,10529668,10836732,11144315,11457801,11776522
SP.POP.TOTL,WSM,178794,179928,181073,182240,183444,184704,186029,187429,188889,190372
SP.POP.TOTL,SMR,29290,29775,30130,30377,30549,30698,30861,31048,31247,31448
SP.POP.TOTL,STP,150842,154615,158806,163390,168253,173240,178228,183177,188098,192993
SP.POP.TOTL,SAU,23839231,24690067,25371936,25915624,26366358,26796375,27258387,27761728,28287855,28828870
SP.POP.TOTL,SEN,10967568,11270826,11582925,11904974,12238791,12586827,12950564,13330737,13726021,14133280
SP.POP.TOTL,SRB,7463157,7440769,7411569,7381579,7350221,7320807,7291436,7234099,7199077,7163976
SP.POP.TOTL,SYC,82500,82900,84600,85033,86956,87298,89770,87441,88303,89173
SP.POP.TOTL,SLE,4928175,5119895,5280909,5416015,5532139,5641182,5751976,5865491,5978727,6092075
SP.POP.TOTL,SGP,4166700,4265800,4401400,4588600,4839400,4987600,5076700,5183700,5312400,5399200
SP.POP.TOTL,SXM,35318,36936,38272,39464,40459,39133,37850,38486,39088,39689
SP.POP.TOTL,SVK,5372280,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5414095
SP.POP.TOTL,SVN,1997012,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2060484
SP.POP.TOTL,SLB,457827,469306,480745,492148,503541,514964,526447,537997,549598,561231
SP.POP.TOTL,SOM,8249965,8466938,8687671,8910851,9140259,9380854,9636173,9907903,10195134,10495583
SP.POP.TOTL,ZAF,47019452,47639556,48269753,48910248,49561256,50222996,50895698,51579599,52274945,52981991
SP.POP.TOTL,SSD,7730180,8039351,8376893,8736736,9118386,9520571,9940929,10381110,10837527,11296173
SP.POP.TOTL,ESP,42921895,43653155,44397319,45226803,45954106,46362946,46576897,46742697,46761264,46647421
SP.POP.TOTL,LKA,19435000,19644000,19858000,20039000,20217000,20450000,20653000,20869000,20328000,20483000
SP.POP.TOTL,KNA,48421,49139,49823,50478,51110,51731,52352,52971,53584,54191
SP.POP.TOTL,LCA,163460,165407,167658,170149,172734,175200,177397,179271,180870,182273
SP.POP.TOTL,MAF,27514,27906,28414,28905,29376,29820,30235,30615,30959,31264
SP.POP.TOTL,VCT,108562,108749,108908,109045,109158,109249,109316,109357,109373,109373
SP.POP.TOTL,SDN,30778572,31585871,32397535,33218250,34040065,34853178,35652002,36430923,37195349,37964306
SP.POP.TOTL,SUR,493394,499523,505186,510433,515372,520173,524960,529761,534541,539276
SP.POP.TOTL,SWZ,1094758,1104642,1118253,1134977,1153929,1173678,1193148,1212159,1230985,1249514
SP.POP.TOTL,SWE,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9592552
SP.POP.TOTL,CHE,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8081482
SP.POP.TOTL,SYR,17676012,18167367,18804914,19561477,20346056,21031546,21532647,21961676,22399254,22845550
SP.POP.TOTL,TJK,6663929,6805655,6954522,7111025,7275252,7447396,7627326,7814850,8008990,8207834
SP.POP.TOTL,TZA,37765139,38824384,39942347,41119693,42353790,43639752,44973330,46354607,47783107,49253126
SP.POP.TOTL,THA,65087400,65559487,65883961,66076927,66185340,66277335,66402316,66576332,66785001,67010502
SP.POP.TOTL,TMP,966987,982889,999053,1015482,1032182,1049156,1066409,1120392,1148958,1178252
SP.POP.TOTL,TGO,5397851,5540214,5685845,5834806,5987491,6144457,6306014,6472304,6642928,6816982
SP.POP.TOTL,TON,100319,100960,101617,102289,102947,103557,104098,104554,104941,105323
SP.POP.TOTL,TTO,1290379,1296933,1303478,1310040,1316449,1322518,1328095,1333082,1337439,1341151
SP.POP.TOTL,TUN,9932400,10029000,10127900,10225100,10328900,10439600,10549100,10673800,10777500,10886500
SP.POP.TOTL,TUR,66845635,67743052,68626337,69496513,70363511,71241080,72137546,73058638,73997128,74932641
SP.POP.TOTL,TKM,4696876,4747839,4801595,4858236,4917543,4978962,5041995,5106668,5172931,5240072
SP.POP.TOTL,TCA,25025,26450,27642,28638,29481,30247,30993,31726,32427,33098
SP.POP.TOTL,TUV,9646,9694,9732,9764,9788,9808,9827,9844,9860,9876
SP.POP.TOTL,UGA,27766986,28724869,29711397,30728747,31778799,32864328,33987213,35148064,36345860,37578876
SP.POP.TOTL,UKR,47451600,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600
SP.POP.TOTL,ARE,3658658,4148883,4875639,5797347,6798635,7718319,8441537,8925096,9205651,9346129
SP.POP.TOTL,GBR,59987905,60401206,60846820,61322463,61806995,62276270,62766365,63258918,63695687,64097085
SP.POP.TOTL,USA,292805298,295516599,298379912,301231207,304093966,306771529,309326295,311582564,313873685,316128839
SP.POP.TOTL,URY,3323822,3325155,3330217,3338384,3348898,3360431,3371982,3383486,3395253,3407062
SP.POP.TOTL,UZB,25864350,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30241100
SP.POP.TOTL,VUT,204135,209375,214654,220001,225398,230833,236299,241778,247262,252763
SP.POP.TOTL,VEN,26261326,26725897,27190882,27655937,28120312,28583040,29043283,29500625,29954782,30405207
SP.POP.TOTL,VNM,81437700,82393500,83313000,84221100,85122300,86025000,86932500,87840000,88772900,89708900
SP.POP.TOTL,VIR,107950,107863,107700,107423,107091,106707,106267,105784,105275,104737
SP.POP.TOTL,WBG,3236626,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506
SP.POP.TOTL,YEM,19612696,20139661,20661714,21182162,21703571,22229625,22763008,23304206,23852409,24407381
SP.POP.TOTL,ZMB,11174650,11470022,11781612,12109620,12456527,12825031,13216985,13633796,14075099,14538640
SP.POP.TOTL,ZWE,12693047,12710589,12724308,12740160,12784041,12888918,13076978,13358738,13724317,14149648
